datetime,open,high,low,close
2025-01-14 15:00:00,1.2208,1.2216,1.2201,1.221
2025-01-14 16:00:00,1.2209,1.2212,1.2197,1.2203
2025-01-14 17:00:00,1.2204,1.2214,1.2203,1.2214
2025-01-14 18:00:00,1.2214,1.2229,1.2205,1.2211
2025-01-14 19:00:00,1.2209,1.2247,1.2208,1.2213
2025-01-14 20:00:00,1.2212,1.2212,1.2176,1.2179
2025-01-14 21:00:00,1.2178,1.219,1.2174,1.2188
2025-01-14 22:00:00,1.2186,1.2193,1.2171,1.2177
2025-01-14 23:00:00,1.2176,1.2179,1.2155,1.2163
2025-01-15 00:00:00,1.2163,1.2182,1.214,1.2154
2025-01-15 01:00:00,1.2154,1.2178,1.2141,1.2157
2025-01-15 02:00:00,1.2157,1.2203,1.2157,1.2201
2025-01-15 03:00:00,1.2199,1.2213,1.2177,1.2186
2025-01-15 04:00:00,1.2183,1.2186,1.2169,1.2186
2025-01-15 05:00:00,1.2184,1.2209,1.2184,1.2207
2025-01-15 06:00:00,1.2207,1.2211,1.2196,1.2199
2025-01-15 07:00:00,1.22,1.2209,1.2195,1.2205
2025-01-15 08:00:00,1.2205,1.2217,1.2205,1.2217
2025-01-15 09:00:00,1.2214,1.2216,1.2211,1.2214
2025-01-15 10:00:00,1.2216,1.2216,1.2205,1.2211
2025-01-15 11:00:00,1.2211,1.2211,1.22,1.2203
2025-01-15 12:00:00,1.2203,1.221,1.2199,1.22
2025-01-15 13:00:00,1.2201,1.2201,1.2193,1.2196
2025-01-15 14:00:00,1.2196,1.2205,1.2195,1.2203
2025-01-15 15:00:00,1.2203,1.2205,1.2199,1.2204
2025-01-15 16:00:00,1.2203,1.2208,1.2199,1.22
2025-01-15 17:00:00,1.2199,1.2205,1.2194,1.2197
2025-01-15 18:00:00,1.2199,1.2241,1.2161,1.2234
2025-01-15 19:00:00,1.2235,1.224,1.2203,1.2207
2025-01-15 20:00:00,1.2206,1.2226,1.2201,1.2218
2025-01-15 21:00:00,1.2219,1.2231,1.2216,1.2228
2025-01-15 22:00:00,1.2228,1.2231,1.222,1.2225
